"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-28","2.60","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-29","1.30","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-30","0.98","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-01","0.35","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-02","2.05","86",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-03","0.03","86",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-04","0.08","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-05","0.55","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-06","0.75","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-07","0.94","83","91","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-08","10.55","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-09","6.06","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-10","0.16","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-11","0.75","78",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-12","4.57","79",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-13","0.00","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-14","5.59","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-15","0.20","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-16","1.93","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-17","0.04","81",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-18","1.97","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-19","3.66","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-20","3.11","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-21","3.66","80",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-22","6.93","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-23","1.65","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-24","1.81","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-25","2.68","79",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-26","3.66","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-27","0.00","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-28","0.35","82",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-29","0.35","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-30","0.59","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-31","0.47","83","90","79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-01","0.08","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-02","0.28","81",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-03","0.75","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-04","3.82","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-05","0.47","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-06","0.39","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-07","0.91","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-08","0.12","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-09","0.12","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-10","0.12","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-11","0.31","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-13",,"83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-14",,"84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-15",,"84",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-16",,"84",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-17","0.12","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-18","0.01","86",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-19","0.00","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-20",,"82",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-21",,"85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-22",,"85",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-23","0.16","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-24","2.28","79",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-25","3.27","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-26","0.39","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-27","0.20","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-28","0.43","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-29","0.24","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-30","0.00","83",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-08-31","0.12","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-01","0.02","83",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-02","0.00","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-03","0.87","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-04","0.47","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-05","0.94","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-06","0.39","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-07","0.24","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-08","0.28","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-09","0.04","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-10","0.39","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-11","0.35","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-12","0.51","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-13","0.31","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-14","0.02","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-15","0.47","78",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-16","1.18","83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-17","0.24","82",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-18","0.00","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-19",,"83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-20",,"83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-21",,"84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-22",,"84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-23","0.67","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-24","2.95","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-25","2.91","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-26","6.69","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-27","2.91","78",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-28","2.05","79","84",
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-29","0.67","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-09-30","0.16","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-01","0.00","85","92","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-02",,"85",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-03",,"85",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-04",,"84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-05",,"84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-06",,"85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-07","0.02","88",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-08","0.00","87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-09","0.00","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-10","0.39","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-11","1.06","84",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-12","1.22","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-13","0.02","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-14","0.12","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-15","0.00","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-16","0.04","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-17","0.00","85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-18",,"85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-19","0.12","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-20","0.39","82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-21","0.00","85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-22",,"86",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-23",,"87",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-24",,"87",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-25",,"86",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-26",,"86",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-27",,"85",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-28",,"85",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-29",,"85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-30",,"86",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-10-31",,"88",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-01",,"86",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-02",,"87",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-03",,"86",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-04",,"87",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-11-05",,"86",,"73"
